,store,sido,gungu,store_address
99,장안1호,서울,동대문구,서울 동대문구 전농동 1-171 (서울 동대문구 한천로 229) 02 -2216-0092
100,장안2호,서울,동대문구,서울 동대문구 장안동 375-3 (서울 동대문구 장한로 69) 02 -2249-9599
101,청량리역,서울,동대문구,서울 동대문구 청량리동 50-14 (서울 동대문구 왕산로 249-1) 02 -957-0001~2
102,노량진,서울,동작구,"서울 동작구 노량진동 37-1 (서울 동작구 노량진로8길 55(노량진동,더클래식동작)) 02 -816-8999,9959"
103,사당1호,서울,동작구,"서울 동작구 사당3동 155-2 1F (서울 동작구 사당로23길 2, 1층) 02 -3477-9945~6"
104,사당3호,서울,동작구,"서울 동작구 사당동 220-119 (서울 동작구 사당로 185-1) 02 -3471-9292,9282"
105,상도,서울,동작구,"서울 동작구 상도동 535 상도2차 두산위브트레지움아파트 상가 (서울 동작구 상도로30길 40, 상도2차 두산위브트레지움아파트 상가) 02 -3280-1932"
106,상도터널,서울,동작구,서울 동작구 상도동 159-26 (서울 동작구 상도로 306) 02 -815-8833
107,숭실대,서울,동작구,서울 동작구 상도동 489-9 (서울 동작구 상도로 370) 02 -889-2299
108,신대방,서울,동작구,서울 동작구 신대방동 607-28 (서울 동작구 시흥대로 646) 02 -846-9992
109,신대방삼거리,서울,동작구,서울 동작구 대방동 407-46 (서울 동작구 여의대방로24길 129) 02 -823-1991
110,흑석1호,서울,동작구,서울 동작구 흑석동 180-6 (서울 동작구 흑석로 116) 02 -814-3377
111,도화(서울),서울,마포구,서울 마포구 도화동 55 (서울 마포구 마포대로4길 30-3) 02 -715-9987
112,망원2동,서울,마포구,서울 마포구 망원동 482-9 (서울 마포구 월드컵로 111) 02 -3143-5575
113,상암,서울,마포구,서울 마포구 상암동 34-45 (서울 마포구 월드컵북로 48길 14) 02 -309-2500
114,성산2동,서울,마포구,서울 마포구 성산동 592 (서울 마포구 월드컵로 190) 02 -373-9909
115,신공덕,서울,마포구,"서울 마포구 신공덕동 159(신공덕 래미안상가 1동109호) (서울 마포구 만리재로 74, 1동 109호) 02 -703-9919"
116,신수,서울,마포구,"서울 마포구 신수동 451번지 세양청마루아파트 상가 101호 (서울 마포구 독막로 209(신수동,세양청마루아파트)) 02 -704-6364"
117,아현,서울,마포구,서울 마포구 아현동 774 마포래미안 푸르지오 101동 상가 114호 (서울 마포구 마포대로 195 (마포래미안 푸르지오 101동 상가 114호)) 02 -363-9993
118,연남,서울,마포구,서울 마포구 연남동 369-20 (서울 마포구 연남로 45) 02 -323-1997
119,용강(서울),서울,마포구,서울 마포구 대흥동 500-10 (서울 마포구 토정로31길 67) 02 -711-9993
120,홍대,서울,마포구,서울 마포구 서교동 371-3 (서울 마포구 양화로16길 6) 02 -338-1300
121,독립문,서울,서대문구,서울 서대문구 냉천동 226 (서울 서대문구 통일로 151) 02 -392-6668
122,명지대,서울,서대문구,서울 서대문구 남가좌동 344-7 (서울 서대문구 거북골로 57-1) 02 -305-9996
123,북가좌1호,서울,서대문구,"서울 서대문구 북가좌동 385-8 (서울 서대문구 응암로 11) 02 -304-3003,3053"
124,북아현1호,서울,서대문구,서울 서대문구 북아현동 1006 (서울 서대문구 북아현로 40) 02 -393-5393
125,신촌,서울,서대문구,서울 서대문구 창천동 41-14 (서울 서대문구 명물길 21) 02 -312-1991
126,연희1호(서울),서울,서대문구,서울 서대문구 연희3동 344-26 (서울 서대문구 성산로 381) 02 -334-7999
127,홍은1호,서울,서대문구,서울 서대문구 홍제동 279-52 (서울 서대문구 세검정로 89) 02 -396-0111
128,홍은사거리,서울,서대문구,서울 서대문구 홍제동 326-20 (서울 서대문구 통일로 473) 02 -3216-9989
129,반포1호,서울,서초구,"서울 서초구 반포동 94-7 (서울 서초구 서래로43) 02 -533-9279,9179"
130,반포삼호가든,서울,서초구,서울 서초구 반포동 53-7 (서울 서초구 서초중앙로 33길 8) 02 -591-9901
131,방배1호,서울,서초구,서울 서초구 방배동 761-8 (서울 서초구 방배중앙로27길 2) 02 -535-1991
132,방배2호,서울,서초구,"서울 서초구 방배동 912-8 (서울 서초구 효령로31길 3(방배동,반도빌딩)) 02 -523-9956"
133,서초1호,서울,서초구,서울 서초구 서초동 1357-56 (서울 서초구 강남대로 43길 22-1 1층) 02 -581-9949
134,서초2호,서울,서초구,서울 서초구 서초동 1669-15 (서울 서초구 서초대로56길 22) 02 -588-9905
135,서초3호,서울,서초구,서울 서초구 서초동 1579-5 (서울 서초구 사임당로 31) 02 -582-9233
136,양재1호,서울,서초구,서울 서초구 양재동 327-2 (서울 서초구 동산로 6) 02 -579-9245
137,우면,서울,서초구,서울 서초구 우면동 720 (서울 서초구 태봉로2길 65) 02 -577-9288
138,잠원1호,서울,서초구,서울 서초구 잠원동 15-4 (서울 서초구 나루터로 69) 02 -532-9992
139,금호역,서울,성동구,서울 성동구 금호동4가 1380 (서울 성동구 장터길 26) 02 -2296-5992
140,성수1호,서울,성동구,서울 성동구 성수동2가 235-1 (서울 성동구 동일로 41) 02 -464-9992
141,성수역,서울,성동구,서울 성동구 성수동2가 289-251 (서울 성동구 아차산로 7길 10-1) 02 -497-1991
142,왕십리1호,서울,성동구,서울 성동구 하왕십리동 946-15 (서울 성동구 왕십리로 363) 02 -2293-9985
143,왕십리도선,서울,성동구,서울 성동구 홍익동 131-1 (서울 성동구 고산자로281 1층) 02 -2292-1991
144,용답,서울,성동구,서울 성동구 용답동 60-18 (서울 성동구 용답중앙13길 6-1) 02 -2215-1993
145,응봉,서울,성동구,서울 성동구 응봉동 100 (서울 성동구 독서당로 398) 02 -2299-9965
146,한양대,서울,성동구,서울 성동구 행당동 3-29 (서울 성동구 마조로 31) 02 -2291-1992
147,길음뉴타운,서울,성북구,서울 성북구 길음동 1284-17 (서울 성북구 길음로 33) 02 -909-1997
148,동덕여대,서울,성북구,서울 성북구 하월곡동 17-1 (서울 성북구 화랑로 103) 02 -913-8292
149,동소문,서울,성북구,서울 성북구 동선동5가 147-13 (서울 성북구 아리랑로 48) 02 -953-9922
150,보문,서울,성북구,서울 성북구 보문동7가 99 (서울 성북구 보문로47) 02 -921-3292
151,석관장위,서울,성북구,서울 성북구 장위동 50-46 (서울 성북구 화랑로 265) 02 -918-9925
152,정릉1호,서울,성북구,"서울 성북구 정릉동 285-11 (서울 성북구 보국문로 72) 02 -909-3311,9282"
153,정릉2호,서울,성북구,서울 성북구 정릉동 175-24 (서울 성북구 정릉로31길 32) 02 -912-1333
154,종암,서울,성북구,서울 성북구 종암동 3-544 (서울 성북구 종암로 27길 18) 02 -921-1112
155,한성대,서울,성북구,서울 성북구 동소문동3가 31 (서울 성북구 동소문로 38) 02 -928-7003
156,가락2호,서울,송파구,"서울 송파구 가락동 75-7 (서울 송파구 양재대로 62길 35 다우빌딩 1층) 02 -448-9005,9045"
157,거여가락1호,서울,송파구,서울 송파구 가락동 180-9 (서울 송파구 문정로 143) 02 -406-9282
158,마천1호,서울,송파구,서울 송파구 거여동 32-6 (서울 송파구 오금로 544 1층) 02 -404-9907~8
159,문정법조,서울,송파구,서울 송파구 문정동 620 송파푸르지오시티 B09호 (서울 송파구 새말로 62(문정동)) 02 -3012-1992
160,방이2호,서울,송파구,서울 송파구 방이동 59-1 (서울 송파구 오금로 11길 22) 02 -420-0495
161,방이역,서울,송파구,"서울 송파구 오금동 41-23 성암빌딩 1층 (서울 송파구 마천로 76 성암빌딩 1층) 02 -418-9599,9569"
162,석촌,서울,송파구,서울 송파구 석촌동 163-1 (서울 송파구 백제고분로 39길 29) 02 -412-0799
163,송파1호,서울,송파구,서울 송파구 송파동 147 (서울 송파구 가락로 212) 02 -418-8892
164,올림픽공원,서울,송파구,서울 송파구 풍납동 401-4 (서울 송파구 올림픽로 505) 02 -478-5844~5
165,위례송파,서울,송파구,"서울 송파구 장지동 897 (서울 송파구 위례광장로 120 148,149호) 02 -2043-1991"
166,잠실1호,서울,송파구,서울 송파구 잠실동 177-3 (서울 송파구 백제고분로7길 9) 02 -416-9939
167,잠실2호,서울,송파구,서울 송파구 신천동 11-4 (서울 송파구 올림픽로35가길 9) 02 -417-9225
168,장지,서울,송파구,"서울 송파구 문정동 102-1 (서울 송파구 새말로 167) 02 -403-9225,9222"
169,헬리오시티,서울,송파구,"서울 송파구 가락동 913 헬리오시티 상가 3A동 01호 (서울 송파구 송파대로 345, 헬리오시티 상가 3A동 01호) 02 -406-1991"
170,목3동,서울,양천구,서울 양천구 목동 722-8 호성빌딩 (서울 양천구 등촌로 102 호성빌딩 1층) 02 -2655-0027
171,목동1호,서울,양천구,서울 양천구 목동 797-3 (서울 양천구 목동중앙서로 24) 02 -2645-9925
172,목동2호,서울,양천구,"서울 양천구 목동 909-8 이화프라자 1층 101호 (서울 양천구 목동동로 423, 이화프라자 1층 101호) 02 -2643-9339,2643-9329"
173,목동오거리,서울,양천구,"서울 양천구 목동 940 현대아이파크상가 102 (서울 양천구 목동로 230, 목동2차아이파크 상가 102호) 02 -2647-0092"
174,목동파크자이,서울,양천구,서울 양천구 신정동 171-68 (서울 양천구 목동남로4길 80) 02 -2039-0447
175,신월1호,서울,양천구,서울 양천구 신월동 602-8 (서울 양천구 신월로 200) 02 -2606-1992
176,신월2호,서울,양천구,서울 양천구 신월7동 972-6 (서울 양천구 지양로 52) 02 -2697-7272
177,신월사거리,서울,양천구,서울 양천구 신월동 166-5 (서울 양천구 남부순환로 360) 02 -2601-9992
178,신정1호,서울,양천구,서울 양천구 신정동 1022-5 (서울 양천구 중앙로 32길 51) 02 -2649-9282
179,신트리,서울,양천구,"서울 양천구 신정동 1267 목동뉴프라자 (서울 양천구 신정로 312, 목동뉴프라자) 02 -2605-7892"
180,오목교,서울,양천구,"서울 양천구 신정동 1296 아이파크 상가 1층 (서울 양천구 목동동로 180, 아이파크아파트 상가 1층) 02 -2654-0833"
181,화곡1호,서울,양천구,서울 양천구 신월동 23-17 (서울 양천구 화곡로 103) 02 -2606-9961~2
182,당산,서울,영등포구,"서울 영등포구 영등포동8가 35-1 (서울 영등포구 영중로 119, 108호) 02 -2672-9995"
183,대림2호,서울,영등포구,서울 영등포구 대림동 783-1 (서울 영등포구 대림로 247) 02 -847-9939
184,문래,서울,영등포구,서울 영등포구 문래동3가 77-34 (서울 영등포구 선유로 62) 02 -2672-7676
185,선유도역,서울,영등포구,서울 영등포구 양평동4가 147-3 (서울 영등포구 양평로 108) 02 -2069-1991
186,신길1호,서울,영등포구,서울 영등포구 신길동 296-14 (서울 영등포구 도신로 108) 02 -833-6016
187,신길2호,서울,영등포구,서울 영등포구 신길7동 674 (서울 영등포구 여의대방로 177) 02 -849-0033
188,신풍역,서울,영등포구,서울 영등포구 신길동 445-2 (서울 영등포구 신길로 67(신길동)) 02 -835-1223
189,여의도,서울,영등포구,서울 영등포구 여의도동 44-31 (서울 영등포구 여의대방로 67길 11) 02 -769-1555
190,영등포1호,서울,영등포구,서울 영등포구 신길동 232-42 (서울 영등포구 신길로 167) 02 -841-7282
191,영등포역,서울,영등포구,서울 영등포구 영등포동3가 21-10 (서울 영등포구 영중로6길 16-1) 02 -2632-1992
192,동부이촌,서울,용산구,서울 용산구 이촌1동 301-153 오성상가 103 (서울 용산구 이촌로75길 22 오성상가 103 (이촌동)) 02 -795-4747
193,보광,서울,용산구,서울 용산구 보광동 217-13 (서울 용산구 장문로 81) 02 -3785-1991
194,숙대,서울,용산구,서울 용산구 청파동2가 90-11 (서울 용산구 청파로 47길 14) 02 -707-2577
195,신용산역,서울,용산구,서울 용산구 한강로2가 122-5 (서울 용산구 한강대로40길 13) 02 -792-8722
196,용문,서울,용산구,서울 용산구 용문동 28-26 (서울 용산구 새창로 108) 02 -702-2858
197,후암,서울,용산구,서울 용산구 후암동 244-59 (서울 용산구 후암로 28-1) 02 -757-3535
198,구산역,서울,은평구,서울 은평구 갈현동 464-14 (서울 은평구 연서로 157) 02 -352-9949
199,녹번,서울,은평구,서울 은평구 녹번동 82-47 (서울 은평구 서오릉로 26) 02 -359-9200
200,대조,서울,은평구,서울특별시 은평구 대조동 231 (서울 은평구 서오릉로 94) 02 -355-6173~4
201,불광1동,서울,은평구,"서울 은평구 불광동 554-1 라비앙프라자1층 101호 (서울 은평구 불광로 60 (불광동,라비앙프라자1층 101호)) 02 -354-8592"
202,신사1동,서울,은평구,서울 은평구 신사동 29-13 (서울 은평구 은평로 22) 02 -375-8295
203,역촌1호,서울,은평구,서울 은평구 역촌동 55-1 (서울 은평구 역말로 8) 02 -356-4326~7
204,연신내,서울,은평구,서울 은평구 불광동 484-72 (서울 은평구 통일로 866-1) 02 -382-1990
205,은평뉴타운,서울,은평구,"서울 은평구 진관동 22 은평뉴타운상가 914-103호 (서울특별시 은평구 진관3로 67 (진관동,은평뉴타운상가 914-103호)) 02 -359-9288"
206,응암1동,서울,은평구,서울 은평구 응암동 236-33 (서울 은평구 백련산로 85(응암동)) 02 -389-9327
207,응암오거리,서울,은평구,서울 은평구 응암동 595-51 (서울 은평구 응암로9길 13-1) 02 -303-6882
208,증산(서울),서울,은평구,서울 은평구 증산동 209-18 (서울 은평구 증산서길 65) 02 -376-9999
209,대학로,서울,종로구,서울 종로구 명륜동4가 113-1 (서울특별시 종로구 대학로11길 23) 02 -3672-9292
210,숭인,서울,종로구,서울 종로구 숭인2동 183-13 (서울 종로구 종로 385) 02 -765-5800
211,안국,서울,종로구,서울 종로구 화동 138-7 (서울 종로구 북촌로5길 43) 02 -734-9992
212,종로1호,서울,종로구,서울 종로구 관철동 13-13 (서울 종로구 종로12길 15) 02 -737-9292
213,평창,서울,종로구,서울 종로구 평창동 158-1 (서울 종로구 평창문화로 75) 02 -396-7942
214,동대문1호,서울,중구,서울 중구 창신동 464-6 (서울 종로구 종로 294) 02 -2231-9337
215,서울시청,서울,중구,서울 중구 태평로2가 55 (서울 중구 세종대로 18길 6) 02 -318-1992
216,신당1호,서울,중구,서울 중구 신당동 846 (서울 중구 다산로 42나길 46) 02 -2237-9952~3
217,약수,서울,중구,서울 중구 신당동 374-14 (서울 중구 다산로 137-1) 02 -2233-9917
218,망우본동,서울,중랑구,서울 중랑구 망우동 251-2 (서울 중랑구 양원역로 78) 02 -433-1993
219,면목1호,서울,중랑구,서울 중랑구 면목동 103-6 (서울 중랑구 겸재로 201) 02 -494-9962~3
220,면목2호,서울,중랑구,"서울 중랑구 면목2동 191-126 (서울 중랑구 중랑천로 50) 02 -494-6282,496-6282"
221,묵동,서울,중랑구,서울 중랑구 묵동 175-2 (서울 중랑구 동일로 920) 02 -948-1992
222,사가정역,서울,중랑구,서울 중랑구 면목동 496-14 (서울 중랑구 면목로 45길3-4) 02 -2207-6543
223,상봉1호,서울,중랑구,"서울 중랑구 상봉동 91-1 (서울시 중랑구 망우로 326) 02 -491-9738, 9"
224,신내1호,서울,중랑구,서울 중랑구 신내동 797 (서울 중랑구 신내로14길 21) 02 -2209-9980
225,중화,서울,중랑구,서울 중랑구 중화동 304-34 (서울 중랑구 동일로 129길 16) 02 -433-1992
226,국제신도시,부산,강서구,부산 강서구 명지동 3412-6 (부산 강서구 명지국제8로 246)
227,명지법원네오,부산,강서구,"부산 강서구 명지동 3432-1 2동 102호 (부산 강서구 명제국제2로 28번길 23, 2동 102호)"
228,명지신도시,부산,강서구,부산 강서구 명지동 3256-5 (부산 강서구 명지오션시티8로30번길 26)
229,신호,부산,강서구,부산 강서구 신호동 317-15 (부산 강서구 신호산단1로 76)
230,지사,부산,강서구,부산 강서구 지사동 1191-5 (부산 강서구 과학산단로 334번길 8)
231,구서1호,부산,금정구,부산 금정구 구서2동 1024-1 (부산 금정구 금강로565번길 25)
232,구서역,부산,금정구,부산 금정구 구서동 457-23 (부산 금정구 금강로 420)
233,남산1호,부산,금정구,"부산 금정구 남산동 99-6 (부산 금정구 금강로 678-1),9264"
234,부곡1호,부산,금정구,부산 금정구 부곡동 23-15 (부산 금정구 무학송로 127)
235,부곡2호,부산,금정구,부산 금정구 부곡1동 324-20 (부산 금정구 부곡로 92)
236,부산대,부산,금정구,부산 금정구 금강로 장전동 418-13 (부산 금정구 금강로 270)
237,서동1호,부산,금정구,부산 금정구 서동 210-6 (부산 금정구 서동로 182)
238,장전1호,부산,금정구,부산 금정구 장전동 134-19 (부산 금정구 금강로 335번길 48)
239,기장,부산,기장군,부산 기장군 기장읍 동부리 134-2 (부산 기장군 기장읍 차성로338번길 1층)
240,일광신도시,부산,기장군,부산 기장군 일광면 삼성리 833-4 (부산 기장군 일광면 해빛6로 43-19)
241,정관1호,부산,기장군,부산 기장군 정관읍 매학리 751-1 (부산 기장군 정관읍 구연로 22)
242,정관2호,부산,기장군,부산 기장군 모전리 747-7 (부산 기장군 정관읍 모전3길 2)
243,대연1호,부산,남구,부산 남구 대연동 1013-8 (부산 남구 유엔로 126-1)
244,대연2호,부산,남구,부산 남구 대연동 52-7 (부산 남구 용소로 13번길 26)
245,대연3호,부산,남구,부산 남구 대연동 1161-9 (부산 남구 석포로 83)
246,메트로시티1호,부산,남구,부산 남구 용호동 176-30 (부산 남구 분포로 113)
247,못골,부산,남구,부산 남구 대연동 1543-33 (부산 남구 진남로 78)
248,문현1호,부산,남구,부산 남구 문현동 359-5 (부산 남구 수영로 30-1)
249,문현2호,부산,남구,부산 남구 문현1동 127-56 (부산 남구 고동골로 68)
250,용호1호,부산,남구,부산 남구 용호동 555-19 (부산 남구 용호로 244-1)
251,용호2호,부산,남구,부산 남구 동명로 126 (부산 남구 동명로 126)
252,용호2호,부산,남구,부산 남구 용호동 396-1 (부산 남구 동명로 126)
253,범일1호,부산,동구,부산 동구 범일동 833-2 (부산 동구 조방로 49번길 10)
254,수정1호,부산,동구,부산 동구 수정동 844-25 (부산 동구 수정로 20-2)
255,초량,부산,동구,부산 동구 초량동 132-1 (부산 동구 초량상로 102)
256,명륜(부산),부산,동래구,부산 동래구 명륜1동 673-9 (부산 동래구 명륜로 177)
257,명장1호,부산,동래구,"부산 동래구 명장동 26-24번지 국제아파트 상가 106호 (부산 동래구 충렬사로 81, 국제파크 상가 106호),9345"
258,복천,부산,동래구,"부산 동래구 복천동 476-1 (부산 동래구 동래로 128),556-8592"
259,사직1호(부산),부산,동래구,부산 동래구 사직동 137-26 (부산 동래구 미남로 64)
260,사직2호,부산,동래구,부산 동래구 사직동 89-16 (부산 동래구 사직로 60)
261,수안,부산,동래구,부산 동래구 수안동 192-4 (부산 동래구 명륜로 78-1)
262,안락2호,부산,동래구,부산 동래구 안락동 670-13 (부산 동래구 안남로 77)
263,온천1호,부산,동래구,"부산 동래구 온천동 210-46 (부산 동래구 금강공원로 29-2),2017"
264,온천2호,부산,동래구,부산 동래구 온천동 1411-47 (부산 동래구 아시아드대로 212-1)
